nomor_peraturan,judul,tahun,no,definisi,heading,keywords
136/PMK.01/2018,Pedoman Tata Naskah Dinas di Lingkungan Kementerian Keuangan,2018,136,"['Naskah Dinas', 'Tata Naskah Dinas', 'Administrasi Umum', 'Instansi', 'Pihak Lain', 'Lambang Negara Kesatuan Republik Indonesia', 'Logo Kementerian Keuangan', 'Penandatangan Naskah Dinas']","['KETENTUAN UMUM', 'MAKSUD DAN TUJUAN', 'ASAS TATA NASKAH DINAS', 'PENYUSUNAN NASKAH DINAS', 'Susunan Naskah Dinas', 'Kepala Naskah Dinas', 'Batang Tubuh dan Kaki Naskah Dinas', 'Ketentuan Penulisan Naskah Dinas', 'JENIS DAN FORMAT NASKAH DINAS', 'Jenis Naskah Dinas', 'Naskah Dinas Arahan', 'Naskah Dinas Pengaturan', 'Naskah Dinas Penetapan', 'Naskah Dinas Penugasan', 'Naskah Dinas Korespondensi', 'Naskah Dinas Korespondensi Intern', 'Naskah Dinas Korespondensi Ekstern', 'Surat Undangan', 'Naskah Dinas Khusus', 'Naskah Dinas Bersama', 'Tembusan', 'Naskah Dinas Lainnya', 'TATA NASKAH DINAS ELEKTRONIK', 'PEMROSESAN DAN PENGELOLAAN NASKAH DINAS', 'Pemrosesan Naskah Dinas', 'Media Sarana Naskah Dinas', 'Penanganan Naskah Dinas Masuk', 'Penanganan Naskah Dinas Keluar', 'Penggunaan Cap Dinas', 'Distribusi Naskah Dinas', 'Ralat Naskah Dinas', 'Pengelolaan Naskah Dinas', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']","['Naskah Dinas', 'Tata Naskah Dinas', 'Administrasi Umum', 'Instansi', 'Pihak Lain', 'Lambang Negara Kesatuan Republik Indonesia', 'Logo Kementerian Keuangan', 'Penandatangan Naskah Dinas', 'KETENTUAN UMUM', 'MAKSUD DAN TUJUAN', 'ASAS TATA NASKAH DINAS', 'PENYUSUNAN NASKAH DINAS', 'Susunan Naskah Dinas', 'Kepala Naskah Dinas', 'Batang Tubuh dan Kaki Naskah Dinas', 'Ketentuan Penulisan Naskah Dinas', 'JENIS DAN FORMAT NASKAH DINAS', 'Jenis Naskah Dinas', 'Naskah Dinas Arahan', 'Naskah Dinas Pengaturan', 'Naskah Dinas Penetapan', 'Naskah Dinas Penugasan', 'Naskah Dinas Korespondensi', 'Naskah Dinas Korespondensi Intern', 'Naskah Dinas Korespondensi Ekstern', 'Surat Undangan', 'Naskah Dinas Khusus', 'Naskah Dinas Bersama', 'Tembusan', 'Naskah Dinas Lainnya', 'TATA NASKAH DINAS ELEKTRONIK', 'PEMROSESAN DAN PENGELOLAAN NASKAH DINAS', 'Pemrosesan Naskah Dinas', 'Media Sarana Naskah Dinas', 'Penanganan Naskah Dinas Masuk', 'Penanganan Naskah Dinas Keluar', 'Penggunaan Cap Dinas', 'Distribusi Naskah Dinas', 'Ralat Naskah Dinas', 'Pengelolaan Naskah Dinas', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']"
168/PMK.07/2009,Pedoman Pendanaan Urusan Bersama Pusat dan Daerah untuk Penanggulangan Kemiskinan,2009,168,"['Pemerintah Pusat', 'Kementerian Negara', 'Pemerintah Daerah', 'Lembaga', 'Urusan Bersama Pusat dan Daerah', 'Pendanaan Urusan Bersama', 'Dana Urusan Bersama', 'Penanggulangan Kemiskinan', 'Program Penanggulangan Kemiskinan', 'Kegiatan Penanggulangan Kemiskinan', 'Tim Koordinasi Penanggulangan Kemiskinan Nasional', 'Satuan Kerja Perangkat Daerah', 'Anggaran Pendapatan dan Belanja Negara', 'Anggaran Pendapatan dan Belanja Daerah', 'Rencana Kerja Pemerintah', 'Rencana Kerja Kementerian Lembaga', 'Rencana Kerja dan Anggaran Kementerian Lembaga', 'Satuan Anggaran Per Satuan Kerja', 'Daftar Isian Pelaksanaan Anggaran']","['KETENTUAN UMUM', 'RUANG LINGKUP PENDANAAN', 'PRINSIP PENDANAAN', 'PERENCANAAN DAN PENGANGGARAN', 'Perencanaan Program Kegiatan', 'Alokasi Pendanaan', 'Mekanisme Penganggaran', 'PENCAIRAN DAN PENYALURAN DANA', 'PELAPORAN DAN PERTANGGUNGJAWABAN DUB DAN DDUB', 'Jenis dan Tata Cara Penyusunan Laporan', 'Laporan Keuangan Pelaksana Kegiatan Urusan Bersama DUB Tingkat Kementerian Negara Lembaga', 'Laporan Keuangan Tahunan Kegiatan Penanggulangan Kemiskinan DUB sebagai Lampiran Laporan Pertanggungjawaban Anggaran Pendapatan dan Belanja Daerah', 'PENGELOLAAN INFORMASI', 'PEMBINAAN DAN PENGAWASAN', 'Pembinaan', 'Pengawasan dan Pengendalian', 'KETENTUAN PENUTUP']","['Pemerintah Pusat', 'Kementerian Negara', 'Pemerintah Daerah', 'Lembaga', 'Urusan Bersama Pusat dan Daerah', 'Pendanaan Urusan Bersama', 'Dana Urusan Bersama', 'Penanggulangan Kemiskinan', 'Program Penanggulangan Kemiskinan', 'Kegiatan Penanggulangan Kemiskinan', 'Tim Koordinasi Penanggulangan Kemiskinan Nasional', 'Satuan Kerja Perangkat Daerah', 'Anggaran Pendapatan dan Belanja Negara', 'Anggaran Pendapatan dan Belanja Daerah', 'Rencana Kerja Pemerintah', 'Rencana Kerja Kementerian Lembaga', 'Rencana Kerja dan Anggaran Kementerian Lembaga', 'Satuan Anggaran Per Satuan Kerja', 'Daftar Isian Pelaksanaan Anggaran', 'KETENTUAN UMUM', 'RUANG LINGKUP PENDANAAN', 'PRINSIP PENDANAAN', 'PERENCANAAN DAN PENGANGGARAN', 'Perencanaan Program Kegiatan', 'Alokasi Pendanaan', 'Mekanisme Penganggaran', 'PENCAIRAN DAN PENYALURAN DANA', 'PELAPORAN DAN PERTANGGUNGJAWABAN DUB DAN DDUB', 'Jenis dan Tata Cara Penyusunan Laporan', 'Laporan Keuangan Pelaksana Kegiatan Urusan Bersama DUB Tingkat Kementerian Negara Lembaga', 'Laporan Keuangan Tahunan Kegiatan Penanggulangan Kemiskinan DUB sebagai Lampiran Laporan Pertanggungjawaban Anggaran Pendapatan dan Belanja Daerah', 'PENGELOLAAN INFORMASI', 'PEMBINAAN DAN PENGAWASAN', 'Pembinaan', 'Pengawasan dan Pengendalian', 'KETENTUAN PENUTUP']"
175/PMK.05/2015,Tarif Layanan Badan Layanan Umum Rumah Sakit Bhayangkara Tingkat Iii Lumajang pada Kepolisian Negara Republik Indonesia,2015,175,['Tarif layanan Badan Layanan Umum Rumah Sakit BhayangkaraTingkat III Lumajang pada Kepolisian Negara Republik Indonesia'],[],['Tarif layanan Badan Layanan Umum Rumah Sakit BhayangkaraTingkat III Lumajang pada Kepolisian Negara Republik Indonesia']
PERPRES 16 TAHUN 2015,Kementerian Lingkungan Hidup dan Kehutanan,2015,16,[],"['KEDUDUKAN TUGAS DAN FUNGSI', 'ORGANISASI', 'Susunan Organisasi', 'Sekretariat Jenderal', 'Direktorat Jenderal Planologi Kehutanan dan Tata Lingkungan', 'Direktorat Jenderal Konservasi Sumber Daya Alam dan Ekosistem', 'Direktorat Jenderal Pengendalian Daerah Aliran Sungai dan Hutan Lindung', 'Direktorat Jenderal Pengelolaan Hutan Produksi Lestari', 'Direktorat Jenderal Pengendalian Pencemaran dan Kerusakan Lingkungan', 'Direktorat Jenderal Pengelolaan Sampah Limbah dan Bahan Beracun Berbahaya', 'Direktorat Jenderal Pengendalian Perubahan Iklim', 'Direktorat Jenderal Perhutanan Sosial dan Kemitraan Lingkungan', 'Direktorat Jenderal Penegakan Hukum Lingkungan Hidup dan Kehutanan', 'Badan Penyuluhan dan Pengembangan Sumber Daya Manusia', 'Badan Penelitian Pengembangan dan Inovasi', 'Staf Ahli', 'UNIT PELAKSANA TEKNIS', 'TATA KERJA', 'PENDANAAN', 'KETENTUAN LAIN LAIN', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']","['KEDUDUKAN TUGAS DAN FUNGSI', 'ORGANISASI', 'Susunan Organisasi', 'Sekretariat Jenderal', 'Direktorat Jenderal Planologi Kehutanan dan Tata Lingkungan', 'Direktorat Jenderal Konservasi Sumber Daya Alam dan Ekosistem', 'Direktorat Jenderal Pengendalian Daerah Aliran Sungai dan Hutan Lindung', 'Direktorat Jenderal Pengelolaan Hutan Produksi Lestari', 'Direktorat Jenderal Pengendalian Pencemaran dan Kerusakan Lingkungan', 'Direktorat Jenderal Pengelolaan Sampah Limbah dan Bahan Beracun Berbahaya', 'Direktorat Jenderal Pengendalian Perubahan Iklim', 'Direktorat Jenderal Perhutanan Sosial dan Kemitraan Lingkungan', 'Direktorat Jenderal Penegakan Hukum Lingkungan Hidup dan Kehutanan', 'Badan Penyuluhan dan Pengembangan Sumber Daya Manusia', 'Badan Penelitian Pengembangan dan Inovasi', 'Staf Ahli', 'UNIT PELAKSANA TEKNIS', 'TATA KERJA', 'PENDANAAN', 'KETENTUAN LAIN LAIN', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']"
PP 66 TAHUN 2013,Statuta Institut Pertanian Bogor,2013,66,"['InstitutPertanianBogoryangselanjutnyadisingkatIPB', 'Statuta IPB', 'Majelis Wali Amanat', 'Rektor', 'Senat Akademik', 'Dewan Guru Besar', 'Komite Audit', 'Fakultas atau Sekolah', 'Departemen', 'ProgramStudi', 'Dekan', 'Dosen', 'Mahasiswa', 'Tenaga Kependidikan', 'Kementerian', 'Menteri']","['KETENTUAN UMUM', 'IDENTITAS', 'Status Kedudukan dan Hari Jadi', 'Lambang Bendera dan Himne', 'PENYELENGGARAAN TRIDHARMA', 'Pendidikan', 'Penelitian dan Pengabdian kepada Masyarakat', 'Kerja Sama dan Promosi', 'SISTEM PENGELOLAAN', 'Umum', 'Majelis Wali Amanat', 'Rektor', 'Dewan Guru Besar', 'Komite Audit', 'Fakultas', 'Senat Fakultas', 'Ketenagaan', 'Mahasiswa dan Alumni', 'SISTEM PENJAMINAN MUTU INTERNAL', 'KODE ETIK DAN SANKSI', 'BENTUK DAN TATA CARA PENETAPAN PERATURAN', 'PENDANAAN DAN KEKAYAAN', 'Sumber Pendanaan', 'Rencana Kerja dan Anggaran Tahunan', 'Investasi', 'Pengadaan Barang Jasa', 'Akuntansi Pengawasan dan Pelaporan', 'Penyelesaian Kerugian', 'Kekayaan', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']","['InstitutPertanianBogoryangselanjutnyadisingkatIPB', 'Statuta IPB', 'Majelis Wali Amanat', 'Rektor', 'Senat Akademik', 'Dewan Guru Besar', 'Komite Audit', 'Fakultas atau Sekolah', 'Departemen', 'ProgramStudi', 'Dekan', 'Dosen', 'Mahasiswa', 'Tenaga Kependidikan', 'Kementerian', 'Menteri', 'KETENTUAN UMUM', 'IDENTITAS', 'Status Kedudukan dan Hari Jadi', 'Lambang Bendera dan Himne', 'PENYELENGGARAAN TRIDHARMA', 'Pendidikan', 'Penelitian dan Pengabdian kepada Masyarakat', 'Kerja Sama dan Promosi', 'SISTEM PENGELOLAAN', 'Umum', 'Majelis Wali Amanat', 'Rektor', 'Dewan Guru Besar', 'Komite Audit', 'Fakultas', 'Senat Fakultas', 'Ketenagaan', 'Mahasiswa dan Alumni', 'SISTEM PENJAMINAN MUTU INTERNAL', 'KODE ETIK DAN SANKSI', 'BENTUK DAN TATA CARA PENETAPAN PERATURAN', 'PENDANAAN DAN KEKAYAAN', 'Sumber Pendanaan', 'Rencana Kerja dan Anggaran Tahunan', 'Investasi', 'Pengadaan Barang Jasa', 'Akuntansi Pengawasan dan Pelaporan', 'Penyelesaian Kerugian', 'Kekayaan', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']"
UU 3 TAHUN 1992,Jaminan Sosial Tenaga Kerja,1992,3,"['Jaminan Sosial Tenaga Kerja', 'Tenaga kerja', 'Pengusaha', 'Perusahaan', 'Upah', 'Kecelakaan kerja', 'Cacad', 'Sakit', 'Pemeliharaan kesehatan', 'Pegawai pengawas ketenagakerjaan', 'Badan penyelenggara', 'Menteri']","['KETENTUAN UMUM', 'PENYELENGGARAAN JAMINAN SOSIAL TENAGA KERJA', 'Jaminan Kecelakaan Kerja', 'Jaminan Kematian', 'Jaminan Hari Tua', 'Jaminan Pemeliharaan Kesehatan', 'KEPESERTAAN', 'IURAN BESARNYA JAMINAN DAN TATA CARA PEMBAYARAN', 'BADAN PENYELENGGGARA', 'KETENTUAN PIDANA', 'PENYIDIKAN', 'KETENTUAN LAIN LAIN', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']","['Jaminan Sosial Tenaga Kerja', 'Tenaga kerja', 'Pengusaha', 'Perusahaan', 'Upah', 'Kecelakaan kerja', 'Cacad', 'Sakit', 'Pemeliharaan kesehatan', 'Pegawai pengawas ketenagakerjaan', 'Badan penyelenggara', 'Menteri', 'KETENTUAN UMUM', 'PENYELENGGARAAN JAMINAN SOSIAL TENAGA KERJA', 'Jaminan Kecelakaan Kerja', 'Jaminan Kematian', 'Jaminan Hari Tua', 'Jaminan Pemeliharaan Kesehatan', 'KEPESERTAAN', 'IURAN BESARNYA JAMINAN DAN TATA CARA PEMBAYARAN', 'BADAN PENYELENGGGARA', 'KETENTUAN PIDANA', 'PENYIDIKAN', 'KETENTUAN LAIN LAIN', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']"
116/PMK.05/2018,Kedudukan dan Tanggung Jawab Bendahara pada Perwakilan Republik Indonesia di Luar Negeri,2018,116,"['Anggaran Pendapatan dan Belanja Negara', 'Daftar Isian Pelaksanaan Anggaran', 'Kas Negara', 'Penerimaan Negara Bukan Pajak', 'Menteri Luar Negeri', 'Menteri Teknis', 'Perwakilan Republik Indonesia di Luar Negeri', 'Satuan Kerja', 'Satker Atase Teknis', 'Kepala Perwakilan', 'Atase Teknis', 'Pengguna Anggaran', 'Kuasa Pengguna Anggaran', 'Pejabat Pembuat Komitmen', 'Pejabat Penandatangan Surat Perintah Membayar', 'Bendahara Umum Negara', 'Kuasa Bendahara Umum Negara', 'Kantor Pelayanan Perbendaharaan Negara', 'Bendahara', 'Bendahara Penerimaan', 'Bendahara Pengeluaran', 'Bendahara Pengeluaran Pembantu', 'Uang Persediaan', 'Tambahan Uang Persediaan', 'Surat Perintah Membayar', 'Surat Perintah Membayar Uang Persediaan', 'Surat Perintah Membayar Tambahan Uang Persediaan', 'Surat Perintah Membayar Penggantian Uang Persediaan', 'Surat Bukti Setor', 'Surat Perintah Membayar Langsung', 'Surat Perintah Pencairan Dana', 'Laporan Pertanggungjawaban Bendahara', 'Laporan Pertanggungjawaban Bendahara Pengeluaran Pembantu', 'Unit Akuntansi Kuasa Pengguna Anggaran', 'Surat Perintah Bayar', '_Internet Banking_', 'Bendaharawan dan Penata Kerumahtanggaan Perwakilan', 'Rekening', 'Kas Besi', 'Kekanseleraian']","['KETENTUAN UMUM', 'RUANG LINGKUP', 'BATASAN TANGGUNG JAWAB BENDAHARA', 'PENGANGKATAN DAN PEMBERHENTIAN BENDAHARA', 'Pengangkatan Bendahara', 'Syarat Pengangkatan Bendahara', 'Penggantian Sementara Pembebastugasan Sementara Bendahara', 'Pemberhentian dan Penggantian Bendahara', 'PENATAUSAHAAN KAS', 'Asas Umum Penatausahaan Kas oleh Bendahara', 'Penatausahaan Rekening Bendahara', 'Pendebitan Rekening Bendahara', 'Pendebitan Rekening Bendahara Menggunakan Cek Bilyet Giro', 'Pendebitan Rekening Bendahara Menggunakan _Internet Banking_', 'Penatausahaan Kas Bendahara Penerimaan', 'Penatausahaan Kas Bendahara Pengeluaran dan BPP', 'Pengelolaan Kas Besi', 'PEMBUKUAN BENDAHARA', 'Asas Umum Pembukuan Bendahara', 'Penyelenggaraan Pembukuan Bendahara', 'Pembukuan Bendahara Penerimaan', 'Pembukuan Bendahara Pengeluaran BPP', 'PEMERIKSAAN KAS BENDAHARA DAN REKONSILIASI PEMBUKUAN BENDAHARA DENGAN UAKPA', 'Pemeriksaan Kas', 'Rekonsiliasi Pembukuan Bendahara dengan UAKPA', 'PENYUSUNAN DAN PENYAMPAIAN LAPORAN PERTANGGUNGJAWABAN BENDAHARA', 'KETENTUAN LAIN LAIN']","['Anggaran Pendapatan dan Belanja Negara', 'Daftar Isian Pelaksanaan Anggaran', 'Kas Negara', 'Penerimaan Negara Bukan Pajak', 'Menteri Luar Negeri', 'Menteri Teknis', 'Perwakilan Republik Indonesia di Luar Negeri', 'Satuan Kerja', 'Satker Atase Teknis', 'Kepala Perwakilan', 'Atase Teknis', 'Pengguna Anggaran', 'Kuasa Pengguna Anggaran', 'Pejabat Pembuat Komitmen', 'Pejabat Penandatangan Surat Perintah Membayar', 'Bendahara Umum Negara', 'Kuasa Bendahara Umum Negara', 'Kantor Pelayanan Perbendaharaan Negara', 'Bendahara', 'Bendahara Penerimaan', 'Bendahara Pengeluaran', 'Bendahara Pengeluaran Pembantu', 'Uang Persediaan', 'Tambahan Uang Persediaan', 'Surat Perintah Membayar', 'Surat Perintah Membayar Uang Persediaan', 'Surat Perintah Membayar Tambahan Uang Persediaan', 'Surat Perintah Membayar Penggantian Uang Persediaan', 'Surat Bukti Setor', 'Surat Perintah Membayar Langsung', 'Surat Perintah Pencairan Dana', 'Laporan Pertanggungjawaban Bendahara', 'Laporan Pertanggungjawaban Bendahara Pengeluaran Pembantu', 'Unit Akuntansi Kuasa Pengguna Anggaran', 'Surat Perintah Bayar', '_Internet Banking_', 'Bendaharawan dan Penata Kerumahtanggaan Perwakilan', 'Rekening', 'Kas Besi', 'Kekanseleraian', 'KETENTUAN UMUM', 'RUANG LINGKUP', 'BATASAN TANGGUNG JAWAB BENDAHARA', 'PENGANGKATAN DAN PEMBERHENTIAN BENDAHARA', 'Pengangkatan Bendahara', 'Syarat Pengangkatan Bendahara', 'Penggantian Sementara Pembebastugasan Sementara Bendahara', 'Pemberhentian dan Penggantian Bendahara', 'PENATAUSAHAAN KAS', 'Asas Umum Penatausahaan Kas oleh Bendahara', 'Penatausahaan Rekening Bendahara', 'Pendebitan Rekening Bendahara', 'Pendebitan Rekening Bendahara Menggunakan Cek Bilyet Giro', 'Pendebitan Rekening Bendahara Menggunakan _Internet Banking_', 'Penatausahaan Kas Bendahara Penerimaan', 'Penatausahaan Kas Bendahara Pengeluaran dan BPP', 'Pengelolaan Kas Besi', 'PEMBUKUAN BENDAHARA', 'Asas Umum Pembukuan Bendahara', 'Penyelenggaraan Pembukuan Bendahara', 'Pembukuan Bendahara Penerimaan', 'Pembukuan Bendahara Pengeluaran BPP', 'PEMERIKSAAN KAS BENDAHARA DAN REKONSILIASI PEMBUKUAN BENDAHARA DENGAN UAKPA', 'Pemeriksaan Kas', 'Rekonsiliasi Pembukuan Bendahara dengan UAKPA', 'PENYUSUNAN DAN PENYAMPAIAN LAPORAN PERTANGGUNGJAWABAN BENDAHARA', 'KETENTUAN LAIN LAIN']"
PP 37 TAHUN 2014,Penetapan Pensiun Pokok Pensiunan Pegawai Negeri Sipil dan Janda Dudanya,2014,37,['Pensiunan Pegawai Negeri Sipil dan Janda Dudanya yang dipensiunkan setelah berlakunya Peraturan Pemerintah Nomor 15 Tahun 2012 tentang Perubahan Keenam Belas Atas Peraturan Pemerintah Nomor 7 Tahun 1977 tentang Peraturan Gaji Pegawai Negeri Sipil pensiun pokoknya ditetapkan sebagai berikut a pensiun Pegawai Negeri Sipil yang hasil perhitungan pensiun pokoknya sebagaimana tercantum dalam lajur 2 ditetapkan menjadi sebagaimana tercantum dalam lajur 3 Daftar I A sampai dengan Daftar I Q Lampiran I yang'],[],['Pensiunan Pegawai Negeri Sipil dan Janda Dudanya yang dipensiunkan setelah berlakunya Peraturan Pemerintah Nomor 15 Tahun 2012 tentang Perubahan Keenam Belas Atas Peraturan Pemerintah Nomor 7 Tahun 1977 tentang Peraturan Gaji Pegawai Negeri Sipil pensiun pokoknya ditetapkan sebagai berikut a pensiun Pegawai Negeri Sipil yang hasil perhitungan pensiun pokoknya sebagaimana tercantum dalam lajur 2 ditetapkan menjadi sebagaimana tercantum dalam lajur 3 Daftar I A sampai dengan Daftar I Q Lampiran I yang']
185/PMK.06/2009,Penilaian Aset Bekas Milik Asing Cina dan Benda Cagar Budaya,2009,185,"['Aset Bekas Milik Asing dan Bekas Milik Cina', 'Benda Cagar Budaya', 'Menteri', 'Direktorat Jenderal', 'Direktur Jenderal', 'Kantor Wilayah']","['KETENTUAN UMUM', 'RUANG LINGKUP', 'Umum', 'Objek Penilaian', 'Tujuan Penilaian', 'Kewenangan Penilaian', 'Pembentukan Tim Penilai Internal', 'PERMOHONAN PENILAIAN', 'Pemohon Penilaian', 'Persyaratan Permohonan Penilaian', 'PELAKSANAAN PENILAIAN', 'Penugasan Melaksanakan Penilaian', 'Proses Penilaian oleh Tim Penilai Direktorat Jenderal', 'Identifikasi Permohonan Penilaian', 'Penentuan Tujuan Penilaian', 'Pengumpulan Data Awal', 'Survei Lapangan', 'Analisis Data', 'Penentuan Pendekatan Penilaian', 'Kesimpulan Nilai', 'Laporan Penilaian', 'Bantuan Penilaian', 'Standar Penilaian', 'BASIS DATA PENILAIAN', 'PENUTUP']","['Aset Bekas Milik Asing dan Bekas Milik Cina', 'Benda Cagar Budaya', 'Menteri', 'Direktorat Jenderal', 'Direktur Jenderal', 'Kantor Wilayah', 'KETENTUAN UMUM', 'RUANG LINGKUP', 'Umum', 'Objek Penilaian', 'Tujuan Penilaian', 'Kewenangan Penilaian', 'Pembentukan Tim Penilai Internal', 'PERMOHONAN PENILAIAN', 'Pemohon Penilaian', 'Persyaratan Permohonan Penilaian', 'PELAKSANAAN PENILAIAN', 'Penugasan Melaksanakan Penilaian', 'Proses Penilaian oleh Tim Penilai Direktorat Jenderal', 'Identifikasi Permohonan Penilaian', 'Penentuan Tujuan Penilaian', 'Pengumpulan Data Awal', 'Survei Lapangan', 'Analisis Data', 'Penentuan Pendekatan Penilaian', 'Kesimpulan Nilai', 'Laporan Penilaian', 'Bantuan Penilaian', 'Standar Penilaian', 'BASIS DATA PENILAIAN', 'PENUTUP']"
166/PMK.010/2017,Pajak Penghasilan Ditanggung Pemerintah atas Pembayaran Recurrent Cost Sistem Perbendaharaan dan Anggaran Negara Span Tahun Anggaran 2017,2017,166,['Pajak Penghasilan yang terutang atas pembayaran _recurrent cost_Sistem Perbendaharaan dan Anggaran Negara SPAN yang dibiayai oleh rupiah murni ditanggung Pemerintah 2 _Recurrent cost_sebagaimana dimaksud pada ayat 1'],[],['Pajak Penghasilan yang terutang atas pembayaran _recurrent cost_Sistem Perbendaharaan dan Anggaran Negara SPAN yang dibiayai oleh rupiah murni ditanggung Pemerintah 2 _Recurrent cost_sebagaimana dimaksud pada ayat 1']
95/PMK.08/2014,Transaksi Surat Utang Negara Secara Langsung,2014,95,"['Surat Utang Negara', 'Surat Perbendaharaan Negara', 'Obligasi Negara', 'Pasar Perdana', 'Pasar Sekunder', 'SUN Seri _Benchmark_', 'Transaksi SUN Secara Langsung', 'Pembelian SUN di Pasar Sekunder', '_Dealing Room_', 'Dealer Utama', 'Pihak', 'Harga Setelmen', 'Setelmen', 'Hari Kerja', 'Direktur Jenderal Pengelolaan Utang']",[],"['Surat Utang Negara', 'Surat Perbendaharaan Negara', 'Obligasi Negara', 'Pasar Perdana', 'Pasar Sekunder', 'SUN Seri _Benchmark_', 'Transaksi SUN Secara Langsung', 'Pembelian SUN di Pasar Sekunder', '_Dealing Room_', 'Dealer Utama', 'Pihak', 'Harga Setelmen', 'Setelmen', 'Hari Kerja', 'Direktur Jenderal Pengelolaan Utang']"
19/PMK.07/2017,Rincian Kurang Bayar Dana Bagi Hasil Menurut Provinsi Kabupaten Kota yang Dialokasikan dalam Anggaran Pendapatan dan Belanja Negara Tahun Anggaran 2017,2017,19,"['Pegawai Negeri Sipil', 'Calon Pegawai Negeri Sipil', 'Pelaksana', 'Pelaksana Umum', 'Pelaksana Khusus', 'Pelaksana Tertentu', 'Pelaksana Tugas Belajar', 'Kompetensi Teknis Pelaksana', 'Pejabat Penilai', 'Tugas Belajar', 'Ujian Penyesuaian Kenaikan Pangkat', 'Unit Kerja', 'Formasi Jabatan', 'Nilai Prestasi Kerja PNS', 'Nilai Kinerja Organisasi', 'Nilai Evaluasi Pelaksana', 'Masa Kerja']",[],"['Pegawai Negeri Sipil', 'Calon Pegawai Negeri Sipil', 'Pelaksana', 'Pelaksana Umum', 'Pelaksana Khusus', 'Pelaksana Tertentu', 'Pelaksana Tugas Belajar', 'Kompetensi Teknis Pelaksana', 'Pejabat Penilai', 'Tugas Belajar', 'Ujian Penyesuaian Kenaikan Pangkat', 'Unit Kerja', 'Formasi Jabatan', 'Nilai Prestasi Kerja PNS', 'Nilai Kinerja Organisasi', 'Nilai Evaluasi Pelaksana', 'Masa Kerja']"
PP 73 TAHUN 2005,Kelurahan,2005,73,"['Pemerintah Pusat selanjutnya disebut Pemerintah', 'Pemerintah Daerah']","['KETENTUAN UMUM', 'PEMBENTUKAN', 'KEDUDUKAN DAN TUGAS', 'SUSUNAN ORGANISASI', 'TATA KERJA', 'KEUANGAN', 'Kepengurusan dan Keanggotaan']","['Pemerintah Pusat selanjutnya disebut Pemerintah', 'Pemerintah Daerah', 'KETENTUAN UMUM', 'PEMBENTUKAN', 'KEDUDUKAN DAN TUGAS', 'SUSUNAN ORGANISASI', 'TATA KERJA', 'KEUANGAN', 'Kepengurusan dan Keanggotaan']"
249/PMK.011/2014,Bea Masuk Ditanggung Pemerintah Sektor Industri Tertentu Tahun Anggaran 2015,2014,249,"['Konsultan Pajak', 'Izin Praktik', 'Kartu Izin Praktik', 'Sertifikat Konsultan Pajak', 'SertifikasiKonsultanPajak', 'Panitia Penyelenggara SertifikasiKonsultan Pajak', 'Asosiasi Konsultan Pajak', 'SuratKeteranganTerdaftar', 'Akademisi', 'Praktisi di bidang perpajakan']","['KETENTUAN UMUM', 'PERSYARATAN KONSULTAN PAJAK', 'IZIN PRAKTIK KONSULTAN PAJAK', 'SERTIFIKAT KONSULTAN PAJAK', 'PANITIA PENYELENGGARA SERTIFIKASI KONSULTAN PAJAK', 'ASOSIASI KONSULTAN PAJAK', 'HAK DAN KEWAJIBAN KONSULTAN PAJAK', 'TEGURAN PEMBEKUAN DAN PENCABUTAN IZIN PRAKTIK', 'KETENTUAN PERALIHAN', 'PENUTUP']","['Konsultan Pajak', 'Izin Praktik', 'Kartu Izin Praktik', 'Sertifikat Konsultan Pajak', 'SertifikasiKonsultanPajak', 'Panitia Penyelenggara SertifikasiKonsultan Pajak', 'Asosiasi Konsultan Pajak', 'SuratKeteranganTerdaftar', 'Akademisi', 'Praktisi di bidang perpajakan', 'KETENTUAN UMUM', 'PERSYARATAN KONSULTAN PAJAK', 'IZIN PRAKTIK KONSULTAN PAJAK', 'SERTIFIKAT KONSULTAN PAJAK', 'PANITIA PENYELENGGARA SERTIFIKASI KONSULTAN PAJAK', 'ASOSIASI KONSULTAN PAJAK', 'HAK DAN KEWAJIBAN KONSULTAN PAJAK', 'TEGURAN PEMBEKUAN DAN PENCABUTAN IZIN PRAKTIK', 'KETENTUAN PERALIHAN', 'PENUTUP']"
